iter	Logloss
0	0.5640246929
5	0.3268621152
10	0.2855890669
15	0.2732041035
20	0.268285161
25	0.2659478369
30	0.2645491248
35	0.2637336474
40	0.2630270986
45	0.2624457357
50	0.2619165549
55	0.2614422744
60	0.2609515828
65	0.2604082474
70	0.2599942007
75	0.2596456702
80	0.2592675484
85	0.2588657331
90	0.2585688205
95	0.2581519788
100	0.2579113255
105	0.2576132847
110	0.2572480867
115	0.2568411685
120	0.2565383583
125	0.2561670317
130	0.2557145984
135	0.2553900178
140	0.2550028955
145	0.2545820536
150	0.2541703404
155	0.2537770639
160	0.2534657148
165	0.2531213896
170	0.2527839109
175	0.252483152
180	0.2520973375
185	0.2518223235
190	0.2515158463
195	0.2511867527
200	0.2508312731
205	0.250495538
210	0.2502050874
215	0.2499492795
220	0.249557516
